CATEGORIA ,NOMBRE ,PRESENTACIÓN,CANTIDAD,UNIDAD,CANTIDAD DE PRESENTACIONES,PESO DE LA PRESENTACIÓN,UNIDAD DE PRESENTACIÓN,CANTIDAD DE PAQUETES POR CAJA,CANTIDAD DE PAQUETES TOTAL,CANTIDAD TOTAL FINAL DE PRODUCTO
Especias,CASSIA CORTADA 3 PULGADAS,Caja,20,KG,1,0.2,KG,100,100,20
Especias,CASSIA CORTADA 5 PULGADAS,Caja,20,KG,25,0.2,KG,100,2500,20
Especias,CASSIA TROZO,Bolsa,25,KG,10,0.2,KG,125,1250,25
Especias,CANELA CORTADA 5´ EMP. DE 1 KG,Caja,25,KG,2,0.25,KG,100,200,25
Especias,CANELA CORTADA C-5 A GRANEL SIN CELOFAN,Caja,24,KG,240,0.25,KG,96,23040,24
Especias,CANELA CORTADA 3´,Caja,20,KG,2,0.25,KG,80,160,20
Especias,"CASSIA CORTADA EN 3"" EMPACADA 1KG",Caja,20,KG,5,0.25,KG,80,400,20
Especias,CANELA C5 EXTRA ESPECIAL FRASCO 250GR,Caja,12,PZA,240,1,PZA,12,2880,12
Especias,CANELA H-2,CajaH,12.5,KG,12.5,0.25,KG,50,625,12.5
Especias,CANELA MOLIDA PURA,Bolsa,10,KG,2,0.25,KG,40,80,10
Especias,CANELA MOLIDA SINTETICA (IVA),Bolsa,25,KG,1,0.25,KG,100,100,25
Especias,CANELA QB. QUILLINS ESP.,Bolsa,30,KG,3,0.25,KG,120,360,30
Especias,CANELA QUILLINS NORMAL,Bolsa,30,KG,5,0.25,KG,120,600,30
Especias,CANELA C-4,CajaH,12.5,KG,240,0.25,KG,50,12000,12.5
Especias,"CANELA C-4  CAJA 21"" CELOFAN",Caja,25,KG,2,0.25,KG,100,200,25
Especias,"CANELA C5 EXTRA ESPECIAL 21"" EN CAJA",Caja,25,KG,5,0.25,KG,100,500,25
